Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
38,Rutgers ,17.48,108.1,90.6,67.4,0.027000000000000003,17.99,112.4,94.4,-5.69,2021
39,Oklahoma,17.06,112.1,95.1,67.1,-0.025,14.29,109.5,95.2,1.93,2021
40,Penn St.,17.03,112.2,95.2,69.1,-0.05,19.38,112.2,92.8,11.55,2021
41,Florida,16.95,111.0,94.1,68.3,-0.004,14.72,109.9,95.2,8.88,2021
42,Syracuse ,16.75,113.7,96.9,68.6,0.028999999999999998,12.94,109.4,96.5,2.09,2021
43,Oregon St. ,16.4,112.1,95.7,65.5,0.07200000000000001,16.72,111.2,94.5,-4.52,2021
44,Utah,15.78,112.7,97.0,67.6,-0.077,15.67,110.5,94.8,-5.46,2021
45,Clemson,15.48,106.4,90.9,64.0,0.1,14.39,109.7,95.3,11.6,2021
46,Utah St. ,15.34,104.8,89.5,68.6,-0.037000000000000005,5.64,105.4,99.7,8.2,2021
47,Missouri,15.14,110.6,95.5,68.4,0.07,15.85,110.2,94.4,11.39,2021
48,VCU ,15.04,105.2,90.2,69.6,0.035,8.57,106.5,98.0,5.66,2021
49,Kentucky,14.97,108.0,93.1,68.1,-0.14800000000000002,16.91,110.9,94.0,15.29,2021
50,Indiana,14.95,109.1,94.2,65.9,-0.053,18.33,111.4,93.1,9.18,2021
51,Mississippi,14.67,106.1,91.4,64.9,-0.063,10.75,107.9,97.2,-6.82,2021
52,Virginia Tech ,14.44,109.7,95.3,65.7,0.043,9.69,107.9,98.2,0.63,2021
53,Saint Louis,14.37,110.4,96.0,68.0,-0.037000000000000005,5.58,104.7,99.1,-1.43,2021
54,Seton Hall,14.36,110.3,95.9,66.5,-0.027000000000000003,14.43,109.7,95.3,11.86,2021
55,Drake ,14.27,112.5,98.2,66.3,0.102,3.98,104.1,100.1,-8.21,2021
56,SMU,14.07,110.8,96.8,68.8,-0.012,8.72,105.0,96.2,-8.32,2021
57,Stanford,13.78,106.0,92.2,69.2,0.022000000000000002,16.46,111.2,94.7,9.76,2021
58,UC Santa Barbara ,13.63,109.9,96.2,65.6,0.03,1.8,102.8,101.0,4.03,2021
59,Louisville,13.54,107.7,94.2,65.7,0.11800000000000001,13.29,109.9,96.6,7.71,2021
60,Auburn,13.2,111.6,98.4,71.0,-0.044000000000000004,14.54,109.3,94.7,6.37,2021
61,Boise St.,13.13,109.1,96.0,69.1,-0.026000000000000002,6.12,105.4,99.3,15.51,2021
62,Minnesota,12.97,108.4,95.4,69.9,0.011000000000000001,17.03,111.4,94.4,0.16,2021
63,Georgetown ,12.91,107.9,95.0,69.7,0.008,14.96,110.6,95.6,4.64,2021
64,Michigan St. ,12.9,107.1,94.2,68.3,0.09,17.72,112.5,94.8,-1.03,2021
65,Richmond,12.78,110.9,98.1,68.2,-0.061,9.22,107.2,97.9,10.89,2021
66,Xavier,12.73,110.6,97.9,67.9,0.003,10.29,107.9,97.6,2.03,2021
67,Mississippi St.,12.37,107.7,95.3,65.8,-0.011000000000000001,12.31,107.5,95.2,-1.44,2021
68,Wichita St. ,12.3,109.5,97.2,67.0,0.08900000000000001,10.47,106.4,96.0,13.71,2021
69,St. John's,12.26,111.2,98.9,73.4,0.013999999999999999,11.04,107.6,96.6,-2.94,2021
70,Davidson,12.11,113.9,101.8,62.5,-0.07400000000000001,6.91,104.7,97.8,1.16,2021
71,N.C. State,12.02,109.4,97.4,67.8,-0.011000000000000001,10.91,109.1,98.2,-6.18,2021
72,North Texas ,11.76,106.7,95.0,62.7,-0.018000000000000002,6.35,105.0,98.6,6.16,2021
73,Wright St.,11.73,108.3,96.6,71.1,-0.078,-3.35,102.7,106.0,5.39,2021
74,Toledo,11.71,114.3,102.6,68.7,-0.024,3.03,104.8,101.7,5.9,2021
75,Saint Mary's,11.68,101.8,90.2,62.9,0.037000000000000005,10.85,108.8,98.0,2.91,2021
76,Colorado St.,11.52,108.1,96.6,69.0,0.045,5.44,104.3,98.9,2.76,2021
77,Buffalo,11.3,107.4,96.1,73.1,-0.098,3.27,105.6,102.3,2.4,2021
78,Washington St.,11.1,102.4,91.3,67.6,-0.01,12.08,108.9,96.8,-8.58,2021
79,Northwestern,10.97,104.3,93.4,68.4,-0.091,19.18,112.9,93.7,-18.34,2021
80,Providence,10.7,107.3,96.6,66.3,0.001,13.51,109.4,95.9,7.01,2021
81,Ohio ,10.47,111.4,100.9,69.2,0.031,5.23,106.1,100.9,1.2,2021
82,Louisiana Tech,10.46,104.2,93.7,69.4,0.055,3.02,103.2,100.2,-8.57,2021
83,Marquette,10.4,107.5,97.1,67.4,-0.006999999999999999,14.12,109.7,95.6,7.66,2021
84,Abilene Christian ,10.11,101.7,91.6,69.3,0.009000000000000001,-5.43,99.4,104.8,4.93,2021
85,Notre Dame,10.03,113.8,103.7,67.2,-0.028999999999999998,14.31,110.7,96.4,13.83,2021
86,Arizona St.,9.85,108.4,98.5,72.5,0.026000000000000002,16.04,110.9,94.9,9.16,2021
87,Dayton,9.69,108.3,98.6,65.5,0.006,8.46,105.1,96.7,4.29,2021
